time,member,sales,delta
2026-06-29T20:09:07+08:00,"VideoCall·Unit B : BANG JEE MIN, RYU SA RANG",64,0
2026-06-29T20:09:07+08:00,"VideoCall·Unit A : MAI, CHOI JUNG EUN",20,0
2026-06-29T20:09:28+08:00,OffLine,0,0
2026-06-29T20:09:28+08:00,"VideoCall·Unit C : KOKO, JEONG SAE BI",22,0
2026-06-29T20:09:28+08:00,"VideoCall·Unit B : BANG JEE MIN, RYU SA RANG",64,0
2026-06-29T20:09:28+08:00,"VideoCall·Unit A : MAI, CHOI JUNG EUN",20,0
2026-06-29T20:09:38+08:00,OffLine,0,0
2026-06-29T20:09:38+08:00,"VideoCall·Unit C : KOKO, JEONG SAE BI",22,0
2026-06-29T20:09:38+08:00,"VideoCall·Unit B : BANG JEE MIN, RYU SA RANG",64,0
2026-06-29T20:09:38+08:00,"VideoCall·Unit A : MAI, CHOI JUNG EUN",20,0
2026-06-29T20:09:48+08:00,OffLine,0,0
2026-06-29T20:09:48+08:00,"VideoCall·Unit C : KOKO, JEONG SAE BI",22,0
2026-06-29T20:09:48+08:00,"VideoCall·Unit B : BANG JEE MIN, RYU SA RANG",64,0
2026-06-29T20:09:48+08:00,"VideoCall·Unit A : MAI, CHOI JUNG EUN",20,0
2026-06-29T20:09:59+08:00,OffLine,0,0
2026-06-29T20:09:59+08:00,"VideoCall·Unit C : KOKO, JEONG SAE BI",22,0
2026-06-29T20:09:59+08:00,"VideoCall·Unit B : BANG JEE MIN, RYU SA RANG",64,0
2026-06-29T20:09:59+08:00,"VideoCall·Unit A : MAI, CHOI JUNG EUN",20,0
2026-06-29T20:10:09+08:00,OffLine,0,0
2026-06-29T20:10:09+08:00,"VideoCall·Unit C : KOKO, JEONG SAE BI",22,0
2026-06-29T20:10:09+08:00,"VideoCall·Unit B : BANG JEE MIN, RYU SA RANG",64,0
2026-06-29T20:10:09+08:00,"VideoCall·Unit A : MAI, CHOI JUNG EUN",20,0
2026-06-29T20:10:20+08:00,OffLine,0,0
2026-06-29T20:10:20+08:00,"VideoCall·Unit C : KOKO, JEONG SAE BI",22,0
2026-06-29T20:10:20+08:00,"VideoCall·Unit B : BANG JEE MIN, RYU SA RANG",64,0
2026-06-29T20:10:20+08:00,"VideoCall·Unit A : MAI, CHOI JUNG EUN",20,0
2026-06-29T20:10:41+08:00,OffLine,0,0
2026-06-29T20:10:41+08:00,"VideoCall·Unit C : KOKO, JEONG SAE BI",22,0
2026-06-29T20:10:41+08:00,"VideoCall·Unit B : BANG JEE MIN, RYU SA RANG",64,0
2026-06-29T20:10:41+08:00,"VideoCall·Unit A : MAI, CHOI JUNG EUN",20,0
2026-06-29T20:10:51+08:00,OffLine,0,0
2026-06-29T20:10:51+08:00,"VideoCall·Unit C : KOKO, JEONG SAE BI",22,0
2026-06-29T20:10:51+08:00,"VideoCall·Unit B : BANG JEE MIN, RYU SA RANG",64,0
2026-06-29T20:10:51+08:00,"VideoCall·Unit A : MAI, CHOI JUNG EUN",20,0
2026-06-29T20:11:02+08:00,OffLine,0,0
2026-06-29T20:11:02+08:00,"VideoCall·Unit C : KOKO, JEONG SAE BI",22,0
2026-06-29T20:11:02+08:00,"VideoCall·Unit B : BANG JEE MIN, RYU SA RANG",64,0
2026-06-29T20:11:02+08:00,"VideoCall·Unit A : MAI, CHOI JUNG EUN",20,0
2026-06-29T20:11:12+08:00,OffLine,0,0
2026-06-29T20:11:12+08:00,"VideoCall·Unit C : KOKO, JEONG SAE BI",22,0
2026-06-29T20:11:12+08:00,"VideoCall·Unit B : BANG JEE MIN, RYU SA RANG",64,0
2026-06-29T20:11:12+08:00,"VideoCall·Unit A : MAI, CHOI JUNG EUN",20,0
2026-06-29T20:11:23+08:00,OffLine,0,0
2026-06-29T20:11:23+08:00,"VideoCall·Unit C : KOKO, JEONG SAE BI",22,0
2026-06-29T20:11:23+08:00,"VideoCall·Unit B : BANG JEE MIN, RYU SA RANG",64,0
2026-06-29T20:11:23+08:00,"VideoCall·Unit A : MAI, CHOI JUNG EUN",20,0
2026-06-29T20:11:33+08:00,OffLine,0,0
2026-06-29T20:11:33+08:00,"VideoCall·Unit C : KOKO, JEONG SAE BI",22,0
2026-06-29T20:11:33+08:00,"VideoCall·Unit B : BANG JEE MIN, RYU SA RANG",64,0
2026-06-29T20:11:33+08:00,"VideoCall·Unit A : MAI, CHOI JUNG EUN",20,0
2026-06-29T20:11:53+08:00,OffLine,0,0
2026-06-29T20:11:53+08:00,"VideoCall·Unit C : KOKO, JEONG SAE BI",22,0
2026-06-29T20:11:53+08:00,"VideoCall·Unit B : BANG JEE MIN, RYU SA RANG",64,0
2026-06-29T20:11:53+08:00,"VideoCall·Unit A : MAI, CHOI JUNG EUN",20,0
2026-06-29T20:12:04+08:00,OffLine,0,0
2026-06-29T20:12:04+08:00,"VideoCall·Unit C : KOKO, JEONG SAE BI",22,0
2026-06-29T20:12:04+08:00,"VideoCall·Unit B : BANG JEE MIN, RYU SA RANG",64,0
2026-06-29T20:12:04+08:00,"VideoCall·Unit A : MAI, CHOI JUNG EUN",20,0
2026-06-29T20:12:14+08:00,OffLine,0,0
2026-06-29T20:12:14+08:00,"VideoCall·Unit C : KOKO, JEONG SAE BI",22,0
2026-06-29T20:12:14+08:00,"VideoCall·Unit B : BANG JEE MIN, RYU SA RANG",64,0
2026-06-29T20:12:14+08:00,"VideoCall·Unit A : MAI, CHOI JUNG EUN",20,0
2026-06-29T20:12:25+08:00,OffLine,0,0
2026-06-29T20:12:25+08:00,"VideoCall·Unit C : KOKO, JEONG SAE BI",22,0
2026-06-29T20:12:25+08:00,"VideoCall·Unit B : BANG JEE MIN, RYU SA RANG",64,0
2026-06-29T20:12:25+08:00,"VideoCall·Unit A : MAI, CHOI JUNG EUN",20,0
2026-06-29T20:12:35+08:00,OffLine,0,0
2026-06-29T20:12:35+08:00,"VideoCall·Unit C : KOKO, JEONG SAE BI",22,0
2026-06-29T20:12:35+08:00,"VideoCall·Unit B : BANG JEE MIN, RYU SA RANG",64,0
2026-06-29T20:12:35+08:00,"VideoCall·Unit A : MAI, CHOI JUNG EUN",20,0
2026-06-29T20:12:46+08:00,OffLine,0,0
2026-06-29T20:12:46+08:00,"VideoCall·Unit C : KOKO, JEONG SAE BI",22,0
2026-06-29T20:12:46+08:00,"VideoCall·Unit B : BANG JEE MIN, RYU SA RANG",64,0
2026-06-29T20:12:46+08:00,"VideoCall·Unit A : MAI, CHOI JUNG EUN",20,0
2026-06-29T20:13:06+08:00,OffLine,0,0
2026-06-29T20:13:06+08:00,"VideoCall·Unit C : KOKO, JEONG SAE BI",22,0
2026-06-29T20:13:06+08:00,"VideoCall·Unit B : BANG JEE MIN, RYU SA RANG",64,0
2026-06-29T20:13:06+08:00,"VideoCall·Unit A : MAI, CHOI JUNG EUN",20,0
2026-06-29T20:13:17+08:00,OffLine,0,0
2026-06-29T20:13:17+08:00,"VideoCall·Unit C : KOKO, JEONG SAE BI",22,0
2026-06-29T20:13:17+08:00,"VideoCall·Unit B : BANG JEE MIN, RYU SA RANG",64,0
2026-06-29T20:13:17+08:00,"VideoCall·Unit A : MAI, CHOI JUNG EUN",20,0
2026-06-29T20:13:27+08:00,OffLine,0,0
2026-06-29T20:13:27+08:00,"VideoCall·Unit C : KOKO, JEONG SAE BI",22,0
2026-06-29T20:13:27+08:00,"VideoCall·Unit B : BANG JEE MIN, RYU SA RANG",64,0
2026-06-29T20:13:27+08:00,"VideoCall·Unit A : MAI, CHOI JUNG EUN",20,0
2026-06-29T20:13:38+08:00,OffLine,0,0
2026-06-29T20:13:38+08:00,"VideoCall·Unit C : KOKO, JEONG SAE BI",22,0
2026-06-29T20:13:38+08:00,"VideoCall·Unit B : BANG JEE MIN, RYU SA RANG",64,0
2026-06-29T20:13:38+08:00,"VideoCall·Unit A : MAI, CHOI JUNG EUN",20,0
2026-06-29T20:13:48+08:00,OffLine,0,0
2026-06-29T20:13:48+08:00,"VideoCall·Unit C : KOKO, JEONG SAE BI",22,0
2026-06-29T20:13:48+08:00,"VideoCall·Unit B : BANG JEE MIN, RYU SA RANG",64,0
2026-06-29T20:13:48+08:00,"VideoCall·Unit A : MAI, CHOI JUNG EUN",20,0
2026-06-29T20:13:59+08:00,OffLine,0,0
2026-06-29T20:13:59+08:00,"VideoCall·Unit C : KOKO, JEONG SAE BI",22,0
2026-06-29T20:13:59+08:00,"VideoCall·Unit B : BANG JEE MIN, RYU SA RANG",64,0
2026-06-29T20:13:59+08:00,"VideoCall·Unit A : MAI, CHOI JUNG EUN",20,0
